"","ID","Target","1","2","3","4","5","6","7","NA"
"1","S1_1","lyta",45,45,45,45,45,45,9999,9999
"2","S1_1","piab",45,45,45,45,45,45,9999,9999
"3","S1_10","lyta",45,45,45,45,45,45,9999,9999
"4","S1_10","piab",45,45,45,45,45,45,9999,9999
"5","S1_100","lyta",35.9908114681768,36.0960754483921,45,45,38.3756526299208,37.4720068713489,9999,9999
"6","S1_100","piab",45,45,45,45,45,45,9999,9999
"7","S1_101","lyta",38.8406702552005,45,32.6007113483618,35.4283348418126,35.1236633922722,45,9999,9999
"8","S1_101","piab",45,45,45,45,45,45,9999,9999
"9","S1_11","lyta",21.5647582630379,22.7481955094564,22.1916761526699,24.5914040842433,45,45,9999,9999
"10","S1_11","piab",45,45,45,45,45,45,9999,9999
"11","S1_12","lyta",39.2593742165286,38.1493932382027,45,45,45,45,9999,9999
"12","S1_12","piab",45,45,45,45,45,45,9999,9999
"13","S1_13","lyta",45,45,45,45,45,45,9999,9999
"14","S1_13","piab",45,45,45,45,45,45,9999,9999
"15","S1_14","lyta",45,45,37.7045252100784,45,45,45,9999,9999
"16","S1_14","piab",45,45,45,45,45,45,9999,9999
"17","S1_15","lyta",45,45,45,45,45,45,9999,9999
"18","S1_15","piab",45,45,45,45,45,45,9999,9999
"19","S1_16","lyta",45,37.0409523125154,45,45,45,45,9999,9999
"20","S1_16","piab",45,45,45,45,45,45,9999,9999
"21","S1_17","lyta",45,45,45,45,45,45,9999,9999
"22","S1_17","piab",45,45,45,45,45,45,9999,9999
"23","S1_18","lyta",45,45,45,45,45,45,9999,9999
"24","S1_18","piab",45,45,45,45,45,45,9999,9999
"25","S1_19","lyta",45,45,45,45,45,45,9999,9999
"26","S1_19","piab",45,45,45,45,45,45,9999,9999
"27","S1_2","lyta",45,45,45,45,45,45,9999,9999
"28","S1_2","piab",45,45,45,45,45,45,9999,9999
"29","S1_20","lyta",45,45,45,45,45,45,9999,9999
"30","S1_20","piab",45,45,45,39.2968312869104,45,45,9999,9999
"31","S1_21","lyta",45,45,45,35.9901190657403,45,45,9999,9999
"32","S1_21","piab",45,45,45,37.5704632526101,45,45,9999,9999
"33","S1_22","lyta",45,45,45,45,45,45,9999,9999
"34","S1_22","piab",45,45,45,45,45,45,9999,9999
"35","S1_23","lyta",45,45,45,45,45,45,9999,9999
"36","S1_23","piab",45,45,45,45,45,45,9999,9999
"37","S1_24","lyta",45,45,45,45,45,45,9999,9999
"38","S1_24","piab",45,45,45,45,45,45,9999,9999
"39","S1_25","lyta",45,38.716500355621,45,45,45,45,9999,9999
"40","S1_25","piab",45,45,45,45,45,45,9999,9999
"41","S1_26","lyta",45,37.0017576358758,45,45,45,45,9999,9999
"42","S1_26","piab",45,45,45,45,45,45,9999,9999
"43","S1_27","lyta",45,45,45,45,45,45,9999,9999
"44","S1_27","piab",45,45,45,45,45,45,9999,9999
"45","S1_28","lyta",22.1766692607417,26.3403484881413,23.5903075463299,25.8095156880442,24.1616581389243,25.3079150524217,9999,9999
"46","S1_28","piab",45,45,45,45,45,45,9999,9999
"47","S1_29","lyta",24.2455652392519,21.6027603181027,27.7110905209066,26.0112651807349,25.9547643608801,28.7255329411526,9999,9999
"48","S1_29","piab",45,45,45,39.0307163760368,45,45,9999,9999
"49","S1_3","lyta",28.3132588842782,25.0650798275618,19.7234102253835,33.234796912035,23.0670993799938,27.5833702183879,9999,9999
"50","S1_3","piab",27.5649047729576,26.0962915435147,20.0712638105098,32.2529590819187,21.9782357615276,26.7187939421651,9999,9999
"51","S1_30","lyta",45,45,45,45,45,45,9999,9999
"52","S1_30","piab",45,45,45,45,45,45,9999,9999
"53","S1_31","lyta",45,45,45,45,45,45,9999,9999
"54","S1_31","piab",45,45,45,45,45,45,9999,9999
"55","S1_32","lyta",45,45,45,45,45,45,9999,9999
"56","S1_32","piab",45,45,45,45,45,45,9999,9999
"57","S1_33","lyta",30.6712254966198,28.9411367216727,27.1988854542884,22.65570639865,45,33.5028061460122,9999,9999
"58","S1_33","piab",30.1236677577973,29.4076463585874,27.2274650281319,22.997667652866,45,30.0408153566075,9999,9999
"59","S1_34","lyta",22.1469421203051,25.2998374050096,22.9753480353861,25.737275475299,25.7460587143805,25.6514980062253,9999,9999
"60","S1_34","piab",45,45,45,37.6812935731423,45,45,9999,9999
"61","S1_35","lyta",19.9550024017987,23.7033767519504,21.8185598602083,24.6395044856326,23.5969307241439,26.5573478227013,9999,9999
"62","S1_35","piab",45,45,45,45,45,45,9999,9999
"63","S1_36","lyta",33.9859645733477,29.5836326150317,25.6676726584711,24.5550031963161,28.917507717951,25.9189817720753,9999,9999
"64","S1_36","piab",45,34.17099937,45,38.3936100978096,45,45,9999,9999
"65","S1_37","lyta",45,45,45,45,45,45,9999,9999
"66","S1_37","piab",45,45,45,45,45,45,9999,9999
"67","S1_4","lyta",27.4314497332336,45,45,45,45,45,9999,9999
"68","S1_4","piab",37.0365386455085,45,45,45,45,45,9999,9999
"69","S1_40","lyta",45,45,45,45,45,45,9999,9999
"70","S1_40","piab",45,36.7966158834077,45,45,45,45,9999,9999
"71","S1_41","lyta",16.4922124163246,20.38183456,32.5124649734571,20.2283445892635,23.4085931558306,19.1687704204476,9999,9999
"72","S1_41","piab",18.3480266785753,22.0175412764691,27.1090821477839,20.6050391680596,22.9196101564778,17.821008263282,9999,9999
"73","S1_42","lyta",45,45,45,45,45,34.69906081,9999,9999
"74","S1_42","piab",37.9837250136937,45,45,45,45,45,9999,9999
"75","S1_43","lyta",45,37.47612385,37.8086424043969,45,45,45,9999,9999
"76","S1_43","piab",45,45,45,45,45,33.4056463216275,9999,9999
"77","S1_44","lyta",45,45,45,32.6849326582154,45,45,9999,9999
"78","S1_44","piab",36.6402431412608,45,45,34.4967604896756,45,45,9999,9999
"79","S1_45","lyta",45,45,45,45,45,45,9999,9999
"80","S1_45","piab",45,45,45,45,45,45,9999,9999
"81","S1_46","lyta",38.4198869178005,45,45,45,39.4456423749819,45,9999,9999
"82","S1_46","piab",45,45,45,45,45,45,9999,9999
"83","S1_47","lyta",45,45,36.9616698480213,45,45,45,9999,9999
"84","S1_47","piab",45,45,45,45,45,45,9999,9999
"85","S1_5","lyta",45,45,45,21.652628358987,24.6903749685355,28.7980333661879,9999,9999
"86","S1_5","piab",45,45,45,45,45,45,9999,9999
"87","S1_50","lyta",37.689618623943,25.07631254,29.1631913727106,26.2492143423172,29.4189050744338,30.0314150789465,9999,9999
"88","S1_50","piab",45,45,45,45,45,45,9999,9999
"89","S1_51","lyta",45,36.80744468,37.1031630316145,39.6782346063049,45,45,9999,9999
"90","S1_51","piab",45,45,45,45,45,45,9999,9999
"91","S1_52","lyta",45,45,45,45,45,45,9999,9999
"92","S1_52","piab",45,45,45,45,45,45,9999,9999
"93","S1_53","lyta",45,45,45,45,45,45,9999,9999
"94","S1_53","piab",45,45,45,45,45,45,9999,9999
"95","S1_54","lyta",45,45,45,45,45,45,9999,9999
"96","S1_54","piab",45,45,45,45,45,45,9999,9999
"97","S1_55","lyta",45,45,45,45,37.4178075997033,45,9999,9999
"98","S1_55","piab",45,45,45,45,45,45,9999,9999
"99","S1_56","lyta",45,45,45,45,45,45,9999,9999
"100","S1_56","piab",45,45,45,45,45,45,9999,9999
"101","S1_57","lyta",45,45,38.7474558815533,45,45,45,9999,9999
"102","S1_57","piab",45,45,45,45,45,45,9999,9999
"103","S1_6","lyta",9999,29.3851734014072,29.5935058718457,24.1040784544396,22.045583140502,25.2134754717604,9999,9999
"104","S1_6","piab",9999,45,45,45,45,45,9999,9999
"105","S1_60","lyta",45,31.89237611,31.0302567028728,36.4159608332748,31.7776620529965,38.499271860713,9999,9999
"106","S1_60","piab",45,45,45,45,45,45,9999,9999
"107","S1_61","lyta",24.458202823538,29.12968156,35.1792508006858,45,39.7104664885872,45,9999,9999
"108","S1_61","piab",45,45,45,45,45,45,9999,9999
"109","S1_62","lyta",45,9999,45,45,35.3079575506079,45,9999,9999
"110","S1_62","piab",45,9999,45,45,33.5454960069469,45,9999,9999
"111","S1_63","lyta",45,9999,45,45,45,34.0662002544823,9999,9999
"112","S1_63","piab",45,9999,45,45,45,31.787472988212,9999,9999
"113","S1_64","lyta",21.9993369849721,28.24154219,23.6683502575944,25.0895815323971,24.5710044785636,29.0491929700786,9999,9999
"114","S1_64","piab",45,45,45,45,45,45,9999,9999
"115","S1_65","lyta",45,45,45,45,45,45,9999,9999
"116","S1_65","piab",45,45,37.5201344967835,45,45,45,9999,9999
"117","S1_66","lyta",45,45,38.3730362319526,45,45,45,9999,9999
"118","S1_66","piab",45,45,45,45,45,45,9999,9999
"119","S1_67","lyta",45,45,38.5670477499732,45,45,45,9999,9999
"120","S1_67","piab",45,45,45,45,45,45,9999,9999
"121","S1_68","lyta",45,45,45,45,45,45,9999,9999
"122","S1_68","piab",45,45,45,45,45,45,9999,9999
"123","S1_69","lyta",45,45,45,45,45,45,9999,9999
"124","S1_69","piab",45,45,45,45,45,45,9999,9999
"125","S1_7","lyta",45,45,45,45,45,45,9999,9999
"126","S1_7","piab",45,45,45,45,45,45,9999,9999
"127","S1_70","lyta",45,45,45,45,45,45,9999,9999
"128","S1_70","piab",45,45,45,45,45,45,9999,9999
"129","S1_71","lyta",45,45,45,45,45,45,9999,9999
"130","S1_71","piab",45,45,45,45,45,45,9999,9999
"131","S1_72","lyta",28.1815254398646,27.98955705,27.2663887274767,29.8241447923726,28.1785974440536,27.7519955558607,9999,9999
